POST DATE,VENDOR,DESCRIPTION,QTY,INVOICE AMT,,,,,
07/28/14,COIT Cleaners,Upholstery Cleaning - Cubicle Partitions 60 x 32,, $	280.00 ,,,,,
07/28/14,COIT Cleaners,Upholstery Cleaning - Cubicle Partitions 24 x 32,, $	112.00 ,,,,,
07/01/14,Coit Services,Upholstery Cleaning - Cubicle Partitions 60 x 32,14, $	280.00 ,,,,,
07/01/14,Coit Services,Upholstery Cleaning - Cubicle Partitions 24 x 32,14, $	112.00 ,,,,,
07/01/14,Cole Fox Hardware,,1," $	10,000.00 ",,,,,
03/11/15,Cole Fox Hardware,Shelves - 48 x 18 x 69,40," $	7,160.00 ",,,,,
09/17/14,Cole Fox Hardware,Omation Quiet Jog,2," $	5,992.00 ",,,,,
07/01/14,Cole Fox Hardware,Envelopes - 12 x 18 Vinyl Envelopes,80," $	4,951.20 ",,,,,
08/29/14,Cole Fox Hardware,Envelopes - Press On Vinyl Envelopes - 12 x 18,80," $	4,951.20 ",,,,,
09/17/14,Cole Fox Hardware,Shelves - CASTER FOR WIRE SHELVES SET/4,40," $	2,840.00 ",,,,,
01/27/15,Cole Fox Hardware,Desk - OTG FILE CABINET MAHOGANY ,16," $	2,527.68 ",,,,,
01/27/15,Cole Fox Hardware,"Desk Shell - 48""W x 30""D x 29""H",16," $	2,399.68 ",,,,,
03/04/15,Cole Fox Hardware,"Desk - OTG 3 Drawer Pedestal w/ Lock, American Cherry",15," $	2,369.70 ",,,,,
03/04/15,Cole Fox Hardware,"Desk - OTG Rectangular 48 x 24 x 29 1/2, American Cherry",15," $	2,160.00 ",,,,,
03/04/15,Cole Fox Hardware,"Desk - OTG Rectangular 60 x 30 x 29 1/2, American Cherry",," $	1,880.00 ",,,,,
03/04/15,Cole Fox Hardware,"Desk - OTG 3 Drawer Pedestal w/ Lock, American Cherry",," $	1,579.80 ",,,,,
03/04/15,Cole Fox Hardware,"Desk - OTG Return Shell 42 x 24 x 29, American Cherry",," $	1,299.90 ",,,,,
09/17/14,Cole Fox Hardware,Shelves - 72'' SHELVING POST 2CT,32, $	960.00 ,,,,,
03/11/15,Cole Fox Hardware,Tax,1, $	692.83 ,,,,,
01/27/15,Cole Fox Hardware,Assembly,1, $	650.00 ,,,,,
03/04/15,Cole Fox Hardware,Installation,1, $	650.00 ,,,,,
03/04/15,Cole Fox Hardware,Installation,, $	550.00 ,,,,,
09/17/14,Cole Fox Hardware,Tax,1, $	524.30 ,,,,,
03/11/15,Cole Fox Hardware,Freight,1, $	507.87 ,,,,,
01/27/15,Cole Fox Hardware,Tax,1, $	488.02 ,,,,,
03/04/15,Cole Fox Hardware,Tax,1, $	474.39 ,,,,,
03/04/15,Cole Fox Hardware,Tax,, $	464.60 ,,,,,
07/01/14,Cole Fox Hardware,Tax,1, $	433.23 ,,,,,
08/29/14,Cole Fox Hardware,Tax,1, $	433.23 ,,,,,
02/25/15,Cole Fox Hardware,Outlet - 20 Outlet Vert Power Strip,6, $	393.00 ,,,,,
03/11/15,Cole Fox Hardware,"Cart - Mobile Computer, Black",2, $	378.00 ,,,,,
01/27/15,Cole Fox Hardware,Freight,1, $	375.00 ,,,,,
03/04/15,Cole Fox Hardware,Freight,1, $	375.00 ,,,,,
03/04/15,Cole Fox Hardware,Freight,, $	375.00 ,,,,,
09/17/14,Cole Fox Hardware,Tax,1, $	369.34 ,,,,,
03/11/15,Cole Fox Hardware,Shelves - CASTER FOR WIRE SHELVES SET/4,5, $	355.00 ,,,,,
03/13/15,Cole Fox Hardware,Wheels - 3 x 1/4 Trap Caster Wheels,100, $	278.00 ,,,,,
09/17/14,Cole Fox Hardware,Shelves - PLASTIC SHELF SUPPORTS FOR WIRE 4 PAIRS,50, $	275.00 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - SecureGuard Plus Non - Res, Red 0.5"" x 2.875""","2,400", $	249.60 ,,,,,
03/04/15,Cole Fox Hardware,"Cabinet - OTG 30"" 2 Shelf Bookcase, American Cherry",2, $	241.95 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Production Setup Fee , Economy Hologram",1, $	229.90 ,,,,,
10/24/14,Cole Fox Hardware,Opex  Model 75 Envelope Catch,2, $	220.00 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Stock Secure, Silver 0.75"" Square","3,000", $	201.00 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Imprint - 2 Color (Label < 1"") Per Proof","3,000", $	201.00 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Production Setup Fee , SSG39 Labels",1, $	172.42 ,,,,,
09/17/14,Cole Fox Hardware,Shelves - Freight,1, $	135.26 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Serial Numbers (Label < 1"")","3,000", $	135.00 ,,,,,
09/17/14,Cole Fox Hardware,Envelopes - 8.5X11 PRESS-ON VINYL ENVELOPES,2, $	120.00 ,,,,,
03/11/15,Cole Fox Hardware,Tax,1, $	112.80 ,,,,,
10/24/14,Cole Fox Hardware,Freight,1, $	67.99 ,,,,,
09/09/14,Cole Fox Hardware,Cables - Yellow Plastic Coated Aircraft Cable,400, $	60.00 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Production Setup Fee , 2 Color Imprint",1, $	52.25 ,,,,,
03/11/15,Cole Fox Hardware,"Labels - Imprint- Black (Label<= 1"" x 1.5"")","2,400", $	48.00 ,,,,,
02/26/15,Cole Fox Hardware,Tax,1, $	34.39 ,,,,,
09/17/14,Cole Fox Hardware,"Shelves - 18"" WIRE SHELVING PUSH HANDLE",2, $	26.00 ,,,,,
03/11/15,Cole Fox Hardware,Shelves - PLASTIC SHELF SUPPORTS FOR WIRE 4 PAIRS,5, $	25.00 ,,,,,
03/13/15,Cole Fox Hardware,Tax,1, $	24.33 ,,,,,
03/11/15,Cole Fox Hardware,Freight,1, $	21.37 ,,,,,
10/24/14,Cole Fox Hardware,Tax,1, $	19.25 ,,,,,
09/09/14,Cole Fox Hardware,Cables - Freight,1, $	13.47 ,,,,,
09/09/14,Cole Fox Hardware,Cables - Tax,1, $	5.25 ,,,,,
07/20/14,Comcast Spotlight,Ads - 10/13/14 - 11/03/14 Spot Order,1," $	8,885.00 ",,,,,
07/20/14,Comcast Spotlight,Ads - 10/27/14 - 11/30/14 Spot Order,1," $	4,343.00 ",,,,,
07/20/14,Comcast Spotlight,Ads - 9/29/14 - 10/26/14 Spot Order,1," $	3,520.00 ",,,,,
07/20/14,Comcast Spotlight,Ads - 10/13/14 - 11/03/14 Xfinity.Com Order,1," $	1,900.00 ",,,,,
07/20/14,Comcast Spotlight,Ads - 9/29/14 - 10/26/14 Xfinity.Com Order,1, $	950.00 ,,,,,
07/20/14,Comcast Spotlight,Ads - 10/27/14 - 11/30/14 Xfinity.Com Order,1, $	950.00 ,,,,,
11/03/14,Cow Palace,Cow Palace - Storage from 11/3 - 11/7,1," $	16,875.00 ",,,,,
10/29/14,Cow Palace,Cow Palace - Storage from 10/30 - 11/2,1," $	13,500.00 ",,,,,
11/03/14,Cow Palace,Cow Palace - Use of Caucus Café 11/4/14,1, $	350.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Monthly Charge,1," $	2,088.00 ",,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Monthly Charge,1, $	900.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Weekly Charge,1, $	380.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Seat Wrap,1, $	281.16 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Labor,1, $	275.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Tax,1, $	205.92 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Tax,1, $	171.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Delivery,1, $	100.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Pick Up ,1, $	100.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Freight,1, $	90.00 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Panel Rocker,1, $	88.50 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart - Tax,1, $	77.40 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Tax,1, $	36.30 ,,,,,
09/30/14,Cresco Equipemnt Rental,Utility Cart Repair - Freight,1, $	33.62 ,,,,,
01/07/15,Cresco Equipment Rental,Purchase Order Increase,1, $	700.00 ,,,,,
07/28/14,Daily Journal,Election Notice - SF Chronicle,1," $	6,107.76 ",,,,,
07/28/14,Daily Journal,Election Notice - El Reportero Newspaper,1," $	3,764.33 ",,,,,
07/28/14,Daily Journal,Election Notice - Sing Tao,1," $	2,117.65 ",,,,,
07/28/14,Daily Journal,Election Notice - SF Chronicle,1," $	1,317.36 ",,,,,
08/21/14,Daily Journal,Ads - Sing Tao,2," $	1,270.59 ",,,,,
08/21/14,Daily Journal,Ads - Asian Journal,2," $	1,205.88 ",,,,,
07/28/14,Daily Journal,Election Notice - SF Chronicle,1," $	1,077.84 ",,,,,
08/21/14,Daily Journal,Ads - The Korea Times,2, $	941.18 ,,,,,
08/21/14,Daily Journal,Ads - Nichi Bei Weekly,2, $	940.00 ,,,,,
07/28/14,Daily Journal,Public Notice - El Reportero Newspaper,2, $	843.06 ,,,,,
07/01/14,Daily Journal,Public Notice - El Reportero Newspaper - 7/7/14,1, $	708.46 ,,,,,
07/28/14,Daily Journal,Public Notice - Sing Tao,1, $	635.29 ,,,,,
08/21/14,Daily Journal,Ads - Vietnam Daily News,2, $	541.18 ,,,,,
07/01/14,Daily Journal,Public Notice - Sing Tao - 7/7/14,1, $	529.41 ,,,,,
07/01/14,Daily Journal,Public Notice  - SF Examiner - 7/7/14,1, $	475.31 ,,,,,
08/21/14,Daily Journal,Ads - El Tecolote,2, $	470.59 ,,,,,
07/28/14,Daily Journal,Public Notice - SF Chronicle,1, $	458.08 ,,,,,
08/21/14,Direct Mail Center,Print 4/4 6x10 Postcards 100lbs Gloss Cover,"355,995"," $	16,019.78 ",,,,,
08/21/14,Direct Mail Center,Inkjet Addressing: Reg. Print Qty: Coated - Ltr Size,"355,995"," $	3,559.95 ",,,,,
08/13/14,Direct Mail Center,"Print 1/1 Green 6.5 x 10"" Min 9Pt. Cover Stock",1," $	2,550.00 ",,,,,
08/21/14,Direct Mail Center,"Resident List: By E-mail: Basic ""Resident""","355,995"," $	2,491.96 ",,,,,
01/29/15,Direct Mail Center,"Print 1/1 Green 6.5 x 10"" Min 9Pt. Cover Stock",1," $	1,900.00 ",,,,,
08/21/14,Direct Mail Center,Presort: Standard: Ltr Size. Non - Profit. Sim With Inkjet,"355,995"," $	1,779.98 ",,,,,
04/08/15,Direct Mail Center,Resident List: New Address from 9/2014 - 4/2015,," $	1,650.00 ",,,,,
08/21/14,Direct Mail Center,Tax,1," $	1,401.73 ",,,,,
08/21/14,Direct Mail Center,Tray Strap / Sack Prep: Postcard / Letter Size,860, $	726.70 ,,,,,
08/13/14,Direct Mail Center,Tab: LG Tab Machine: x 2: Postcard / Letter Size,"16,920", $	497.45 ,,,,,
08/13/14,Direct Mail Center,Inkjet Addressing: Reg. Print Qty: Uncoated - Ltr Size,"16,920", $	465.30 ,,,,,
08/13/14,Direct Mail Center,"Machine Folding: Cover: Up to 8.5 x 14"" With Perf","16,920", $	372.24 ,,,,,
09/09/14,Direct Mail Center,Print 1/1 4.25 x 5.5 Cards on Cover Stock,"3,324", $	350.02 ,,,,,
01/29/15,Direct Mail Center,Tab: LG Tab Machine: x 2: Postcard / Letter Size,"10,022", $	326.72 ,,,,,
01/29/15,Direct Mail Center,Inkjet Addressing: Reg. Print Qty: Uncoated - Ltr Size,"10,022", $	280.62 ,,,,,
08/13/14,Direct Mail Center,Presort: Standard: Ltr Size. Non - Profit. Sim With Inkjet,"16,920", $	253.80 ,,,,,
08/13/14,Direct Mail Center,Tax,1, $	223.13 ,,,,,
01/29/15,Direct Mail Center,"Machine Folding: Cover: Up to 8.5 x 14"" With Perf","10,022", $	220.48 ,,,,,
08/21/14,Direct Mail Center,Red Tag Political Mail,860, $	215.00 ,,,,,
08/21/14,Direct Mail Center,D.P.: File Reformatting,2, $	200.00 ,,,,,
08/21/14,Direct Mail Center,Delivery to G.M.F.: Pcd / Ltr,1, $	179.00 ,,,,,
01/29/15,Direct Mail Center,D.P.: File Reformatting,2, $	170.00 ,,,,,
01/29/15,Direct Mail Center,Tax,1, $	166.25 ,,,,,
01/29/15,Direct Mail Center,Presort: Standard: Ltr Size. Non - Profit. Sim With Inkjet,"10,022", $	165.36 ,,,,,
08/13/14,Direct Mail Center,D.P.: File Reformatting,2, $	160.00 ,,,,,
09/09/14,Direct Mail Center,Inkjet Addressing: Reg. Print Qty: Coated - Ltr Size,"3,324", $	119.66 ,,,,,
09/09/14,Direct Mail Center,Message: Add'l Fields,"3,324", $	116.34 ,,,,,
08/13/14,Direct Mail Center,Run MailSmarter!,"16,920", $	113.36 ,,,,,
09/09/14,Direct Mail Center,Inkjet Addressing: Set - Up With Barcode,2, $	107.00 ,,,,,
01/29/15,Direct Mail Center,Run MailSmarter!,"10,022", $	105.23 ,,,,,
08/21/14,Direct Mail Center,File Format (From E-mail),1, $	100.00 ,,,,,
03/31/15,Direct Mail Center,Inkjet Addressing: Reg. Print Qty: Uncoated - Ltr Size,"2,667", $	96.01 ,,,,,
03/31/15,Direct Mail Center,Tab: LG Tab Machine: x 2: Postcard / Letter Size,"2,667", $	92.54 ,,,,,
09/09/14,Direct Mail Center,Presort: Standard: Ltr Size. Non - Profit. Sim With Inkjet,"3,324", $	81.44 ,,,,,
08/13/14,Direct Mail Center,Deliver to G.M.F.: PCD / LTR,1, $	79.00 ,,,,,
03/31/15,Direct Mail Center,"Machine Folding: Cover: Up to 8.5 x 14"" With Perf","2,667", $	76.01 ,,,,,
01/29/15,Direct Mail Center,Tray Bundle: Postcard / Letter Size,80, $	74.00 ,,,,,
08/13/14,Direct Mail Center,Tray Bundle: Postcard / Letter Size,80, $	70.80 ,,,,,
03/31/15,Direct Mail Center,Presort: Standard: Ltr Size. Non - Profit. Sim With Inkjet,"2,667", $	70.68 ,,,,,
01/29/15,Direct Mail Center,Deliver to G.M.F.: PCD / LTR,1, $	65.00 ,,,,,
09/09/14,Direct Mail Center,D.P.: File Reformatting,0.75, $	60.00 ,,,,,
01/29/15,Direct Mail Center,Inkjet Addressing: Set - Up With Barcode,1, $	58.00 ,,,,,
03/31/15,Direct Mail Center,Inkjet Addressing: Set - Up,1, $	58.00 ,,,,,
08/13/14,Direct Mail Center,Inkjet Addressing: Set - Up With Barcode,1, $	56.00 ,,,,,
08/21/14,Direct Mail Center,Inkjet Addressing: Set - Up With Barcode,1, $	56.00 ,,,,,
08/13/14,Direct Mail Center,Tab: LG Tab Machine: Option 1,1, $	55.00 ,,,,,
01/29/15,Direct Mail Center,Tab: LG Tab Machine: Option 1,1, $	55.00 ,,,,,
03/31/15,Direct Mail Center,Tab: LG Tab Machine: Option 1,1, $	55.00 ,,,,,
03/31/15,Direct Mail Center,Deliver to G.M.F.: PCD / LTR,1, $	47.50 ,,,,,
08/13/14,Direct Mail Center,File Transfer Via E-mail,"16,920", $	45.68 ,,,,,
01/29/15,Direct Mail Center,Pickup / Delivery,1, $	45.00 ,,,,,
01/29/15,Direct Mail Center,File Transfer Via E-mail,"10,022", $	42.09 ,,,,,
08/13/14,Direct Mail Center,Pickup / Delivery,1, $	42.00 ,,,,,
09/09/14,Direct Mail Center,Delivery to G.M.F.: Pcd / Ltr,1, $	42.00 ,,,,,
09/09/14,Direct Mail Center,Run MailSmarter!,"3,324", $	39.22 ,,,,,
01/29/15,Direct Mail Center,Machine Folding: Reg Set - Up,1, $	35.00 ,,,,,
03/31/15,Direct Mail Center,Machine Folding: Reg Set - Up,1, $	35.00 ,,,,,
09/09/14,Direct Mail Center,File Transfer Via E-mail,"3,324", $	33.90 ,,,,,
03/31/15,Direct Mail Center,File Transfer / Set Up,"2,667", $	33.34 ,,,,,
08/13/14,Direct Mail Center,Machine Folding: Reg Set - Up,1, $	33.00 ,,,,,
01/29/15,Direct Mail Center,MailSmarter! Set - Up,1, $	32.50 ,,,,,
09/09/14,Direct Mail Center,Tax,1, $	32.38 ,,,,,
08/13/14,Direct Mail Center,MailSmarter! Set - Up,1, $	31.00 ,,,,,
09/09/14,Direct Mail Center,MailSmarter! Set - Up,1, $	31.00 ,,,,,
09/09/14,Direct Mail Center,Prepare Artwork,0.25, $	20.00 ,,,,,
01/29/15,Direct Mail Center,D.P.: Additional File,2, $	18.00 ,,,,,
08/13/14,Direct Mail Center,D.P.: Additional File,2, $	17.00 ,,,,,
08/13/14,Direct Mail Center,International Mail Handling,7, $	14.00 ,,,,,
03/31/15,Direct Mail Center,Tray Bundle: Postcard / Letter Size,12, $	11.10 ,,,,,
01/29/15,Direct Mail Center,CASS Certificate,1, $	11.00 ,,,,,
08/13/14,Direct Mail Center,CASS Certificate,1, $	10.50 ,,,,,
09/09/14,Direct Mail Center,CASS Certificate,1, $	10.50 ,,,,,
09/09/14,Direct Mail Center,D.P.: Additional File,1.00, $	9.50 ,,,,,
08/13/14,Direct Mail Center,International Mail Postage,1, $	8.05 ,,,,,
09/09/14,Direct Mail Center,Tray Bundle: Postcard / Letter Size,9, $	7.96 ,,,,,
09/09/14,Direct Mail Center,Red Tag Political Mail,9, $	7.65 ,,,,,
01/29/15,Direct Mail Center,International Mail Handling,1, $	2.00 ,,,,,
01/29/15,Direct Mail Center,International Mail Postage,1, $	1.15 ,,,,,
10/24/14,Dolly Rental inc,Dollies,60, $	300.00 ,,,,,
09/30/14,East Bay Cromer,Forklift - Monthly Charge,2," $	2,400.00 ",,,,,
11/10/14,East Bay Cromer,Purchase Order Increase,1," $	2,000.00 ",,,,,
09/30/14,East Bay Cromer,Forklift - Weekly Rental Charge,1," $	1,000.00 ",,,,,
09/12/14,East Bay Cromer,Service - Remove and Replace Broken Handle Springs - Labor,1, $	307.50 ,,,,,
09/30/14,East Bay Cromer,Forklift - Trucking Charge / Delivery,1, $	275.00 ,,,,,
09/11/14,East Bay Cromer,Service - Training for Forklift Platform Safety,2, $	250.00 ,,,,,
09/30/14,East Bay Cromer,Forklift - Tax,1, $	235.82 ,,,,,
09/30/14,East Bay Cromer,Forklift - Tax,1, $	211.75 ,,,,,
09/16/14,East Bay Cromer,Service - PO# Increase,1, $	185.00 ,,,,,
09/11/14,East Bay Cromer,Service - Electric Pallet Jack Maintnenace,1, $	170.00 ,,,,,
09/11/14,East Bay Cromer,Service - Labor,1, $	115.00 ,,,,,
09/30/14,East Bay Cromer,Forklift - Delivery,1, $	115.00 ,,,,,
09/30/14,East Bay Cromer,Forklift - Pick Up ,1, $	115.00 ,,,,,
09/12/14,East Bay Cromer,Service - Remove and Replace Broken Handle Springs - Parts,1, $	90.00 ,,,,,
09/12/14,East Bay Cromer,Service - Misc. Supplies,1, $	21.53 ,,,,,
09/30/14,East Bay Cromer,Forklift - Environmental Recovery Fee,1, $	20.00 ,,,,,
09/12/14,East Bay Cromer,Service - Tax,1, $	9.77 ,,,,,
09/12/14,East Bay Cromer,Service - Hazardous Charge,1, $	3.97 ,,,,,
07/22/14,ErgoCure,Preventative Workstation Evaluation - Travel,0.75, $	90.00 ,,,,,
10/17/14,ErgoCure,Preventative Workstation Evaluation - Travel,0.75, $	90.00 ,,,,,
07/22/14,ErgoCure,Preventative Workstation Evaluation - Employee Workstation Evaluation,0.50, $	60.00 ,,,,,
07/22/14,ErgoCure,Preventative Workstation Evaluation - Employee Workstation Report,0.50, $	60.00 ,,,,,
10/17/14,ErgoCure,Preventative Workstation Evaluation - Employee Workstation Evaluation,0.50, $	60.00 ,,,,,
10/17/14,ErgoCure,Preventative Workstation Evaluation - Employee Workstation Report,0.50, $	60.00 ,,,,,
07/03/14,Filipino American Arts Exposition,Filipino American Arts Explosion,1, $	670.00 ,,,,,
08/29/14,Fitzgerald Electro - Mechanical,Date Stamper - Labor,1, $	80.00 ,,,,,
08/29/14,Fitzgerald Electro - Mechanical,Date Stamper - Estimates Parts,1, $	58.90 ,,,,,
08/29/14,Fitzgerald Electro - Mechanical,Date Stamper - Travel,1, $	45.00 ,,,,,
08/29/14,Fitzgerald Electro - Mechanical,Date Stamper - Tax,1, $	5.15 ,,,,,
08/13/14,Give Something Back,Stickers - 100 Rolls of 500 Stickers,100, $	924.36 ,,,,,
09/09/14,Give Something Back,"Stickers - 2,000 Labels ENGLISH ONLY",1, $	253.03 ,,,,,
08/13/14,Give Something Back,Tax,1, $	84.37 ,,,,,
08/13/14,Give Something Back,Freight,1, $	40.00 ,,,,,
09/09/14,Give Something Back,Stickers - Freight,1, $	30.00 ,,,,,
09/09/14,Give Something Back,Stickers - Tax,1, $	24.77 ,,,,,
07/15/14,Golden State Portables,Toilets - Standard Chemical Toilets,142," $	11,360.00 ",,,,,
11/10/14,Golden State Portables,Toilet - Rental - Quad,1," $	1,000.00 ",,,,,
11/10/14,Golden State Portables,Purchase Order Increase,1, $	500.00 ,,,,,
07/15/14,Golden State Portables,Toilets - Standard Chemical Toilets - Damaged,1, $	450.00 ,,,,,
10/28/14,Golden State Portables,Toilet - Rental,1, $	150.00 ,,,,,
11/10/14,Golden State Portables,Toilet - Rental - Deluxe,1, $	150.00 ,,,,,
07/15/14,Golden State Portables,Toilets - Tax,1, $	101.50 ,,,,,
11/10/14,Golden State Portables,Toilet - Tax,1, $	17.00 ,,,,,
10/28/14,Golden State Portables,Toilet - Tax,1, $	0.44 ,,,,,
11/10/14,Golden State Portables,Toilet - Tax,1, $	0.43 ,,,,,
07/01/14,Grainger,"Pallet -  1200 LB, 48 Inch L, 45 Inch W, Black",50," $	4,455.00 ",,,,,
07/01/14,Grainger,"Pallet Truck - Load Capacity 8000Lbs, Steel",1," $	2,266.95 ",,,,,
07/01/14,Grainger,"Cabinet - Mobile Storage Cabinet, Welded, Charcoal",4," $	1,523.00 ",,,,,
07/01/14,Grainger,Folding Chair Cart - 69 3/4 x 68 x 30 3/4 Inches,1," $	1,319.00 ",,,,,
07/01/14,Grainger,Extension Cord - 25 FT,50, $	909.50 ,,,,,
07/01/14,Grainger,Compartment Box - Adjustable Compartment,60, $	766.80 ,,,,,
07/01/14,Grainger,"Pallet Truck - Scale, 4400Lbs Cap, Steel",1, $	718.67 ,,,,,
07/01/14,Grainger,"Tags - Tag Pouch, 6 x 3 1/4 Inch, Plastic, 100PK",7, $	689.08 ,,,,,
07/01/14,Grainger,Tax,1, $	638.48 ,,,,,
07/01/14,Grainger,Tax,1, $	634.32 ,,,,,
07/01/14,Grainger,"Construction Film -  10 x 100 FT, 4 Mil, Black",12, $	624.12 ,,,,,
07/01/14,Grainger,"Construction Film -  10 x 100 FT, 4 Mil, Clear",12, $	580.32 ,,,,,
07/01/14,Grainger,"Lights - Clamp On Light, 150 W",30, $	379.80 ,,,,,
07/09/14,Grainger,"Camera - CANON Digital Camera Kit, 16 MP",1, $	308.48 ,,,,,
07/01/14,Grainger,"Tape - Roll, 2 Inch, 108 FT, Yellow/ Black",20, $	246.00 ,,,,,
07/09/14,Grainger,"Latern - RAYOVAC LED Lantern,IPX7,400 lm,Black",6, $	246.00 ,,,,,
07/09/14,Grainger,"Shelves - Conduit Clamp, Screw On, 3/4 In, Steel",200, $	232.00 ,,,,,
07/09/14,Grainger,"Key Ring -  1 IN., PK 25",36, $	231.12 ,,,,,
07/01/14,Grainger,Extension Cord - 10 FT,20, $	214.20 ,,,,,
07/09/14,Grainger,"Shelves - Conduit Clamp, Screw On, 3/4 In, Steel",180, $	214.20 ,,,,,
07/09/14,Grainger,"Water Hose -  Kink Free, 100 Ft",3, $	199.98 ,,,,,
07/01/14,Grainger,"Bags - Reclosable Bag, 20 Inch L, 18 Inch W, 500PK",1, $	184.24 ,,,,,
07/01/14,Grainger,"Tool - Cordless Drill, Driver Kit, 12V, 1/2 Inch",1, $	177.40 ,,,,,
07/09/14,Grainger,Emergency - Jump Starter,1, $	166.73 ,,,,,
07/09/14,Grainger,"Shelves - Conduit Clamp, Screw On, 3/4 In, Steel",120, $	139.20 ,,,,,
07/01/14,Grainger,Tax,1, $	138.43 ,,,,,
07/09/14,Grainger,"Bags - Liner,23 Gal.,PK250",2, $	120.88 ,,,,,
07/01/14,Grainger,"Measuring Wheel - Dual, 1 FT, 4 Inch Diameter, Yellow",3, $	110.70 ,,,,,
07/09/14,Grainger,"Bins - Container with Lid, Blue, 2.25 Cu Ft (RFID Storage)",3, $	106.35 ,,,,,
07/09/14,Grainger,"Gloves - 5.11 TACTICAL Mechanics Gloves,Black,M,PR",5, $	106.00 ,,,,,
07/09/14,Grainger,Cord Adapter - Ground,100, $	101.00 ,,,,,
07/09/14,Grainger,"Back Support - CONDOR Back Support,Standard,9 In W,Medium",4, $	71.40 ,,,,,
07/09/14,Grainger,"Gloves - 5.11 TACTICAL Mechanics Gloves,Black,S,PR",3, $	63.60 ,,,,,
07/09/14,Grainger,"Tool - RIDGID Pipe Cutter,PVC, CPVC, PEX, Polyethylene",1, $	61.88 ,,,,,
07/09/14,Grainger,"Safety - Full Body Harness, Standard, Yellow",1, $	58.16 ,,,,,
07/09/14,Grainger,"Safety - Lanyard, 1 Leg, Polyester, Yellow",1, $	55.52 ,,,,,
07/01/14,Grainger,"Battery - Coin Cell, 2032, Lithium, 3V, 2 PK",10, $	47.30 ,,,,,
07/01/14,Grainger,"Mask - Diaposable Respirator, N95, Standard, 10P PK",2, $	39.64 ,,,,,
07/01/14,Grainger,"Cleaner - Cloth Rag, Recylced Cooton, 4 LB Box",5, $	38.80 ,,,,,
07/09/14,Grainger,"Banner - Beam Clamp, Threaded 1/4 In Hole Size",20, $	33.60 ,,,,,
07/01/14,Grainger,"Hook - Small Wire Hook, Length 1 5/8 Inch, 9 PK",3, $	33.00 ,,,,,
07/09/14,Grainger,"Edge - Hook Loop Set,1Inx4In,Black,PK50",1, $	30.38 ,,,,,
07/09/14,Grainger,"Banner - Grab Hook, Hot Roll Steel, Eye, 750 lb.",3, $	29.67 ,,,,,
07/09/14,Grainger,Tax,1, $	26.99 ,,,,,
07/01/14,Grainger,"Spray Paint -  Fluorescent Orange, 12 OZ",4, $	24.88 ,,,,,
07/09/14,Grainger,Tax,1, $	24.51 ,,,,,
07/01/14,Grainger,"Stencil  - Ink, Black",4, $	22.68 ,,,,,
07/09/14,Grainger,Tax,1, $	21.85 ,,,,,
07/09/14,Grainger,Tax,1, $	21.53 ,,,,,
07/09/14,Grainger,"Gloves - 5.11 TACTICAL Mechanics Gloves,Black,L,PR",1, $	21.20 ,,,,,
07/01/14,Grainger,"Gloves - Mechanics Gloves, Black, L, Pair",1, $	20.55 ,,,,,
07/09/14,Grainger,Tax,1, $	20.37 ,,,,,
07/09/14,Grainger,Tax,1, $	20.22 ,,,,,
07/09/14,Grainger,Tax,1, $	19.42 ,,,,,
07/09/14,Grainger,"Screws - Drilling Screw, #8-18 x1 1/2, Pk 140",2, $	18.58 ,,,,,
07/09/14,Grainger,"Back Support - CONDOR Back Support,Standard,9 In W,Small",1, $	17.85 ,,,,,
07/09/14,Grainger,"Screws - Drilling Screw, #8-18 x1 1/2, Pk 140",2, $	17.70 ,,,,,
07/09/14,Grainger,Tax,1, $	17.50 ,,,,,
07/09/14,Grainger,"Banner - Beam Clamp, Threaded 1/4 In Hole Size",10, $	16.80 ,,,,,
07/09/14,Grainger,"Wheels - Caster Wheel, 300 Lb, 3 D x 1 1/4 In",2, $	16.32 ,,,,,
07/09/14,Grainger,"Safety - Hard Hat, FrtBrim, Slotted, 4Rtcht, Yellow",1, $	15.71 ,,,,,
